Font:   Style: 
Point Size: 0   Padding: 5   SP/PD Ratio: Infinity

Characters included: 3513/15893
Missing characters: 372
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 9	Hex: 9	Char [	]
ID: 260	Hex: 104	Char [Ą]
ID: 344	Hex: 158	Char [Ř]
ID: 345	Hex: 159	Char [ř]
ID: 346	Hex: 15A	Char [Ś]
ID: 347	Hex: 15B	Char [ś]
ID: 348	Hex: 15C	Char [Ŝ]
ID: 349	Hex: 15D	Char [ŝ]
ID: 350	Hex: 15E	Char [Ş]
ID: 351	Hex: 15F	Char [ş]
ID: 352	Hex: 160	Char [Š]
ID: 353	Hex: 161	Char [š]
ID: 354	Hex: 162	Char [Ţ]
ID: 355	Hex: 163	Char [ţ]
ID: 356	Hex: 164	Char [Ť]
ID: 357	Hex: 165	Char [ť]
ID: 358	Hex: 166	Char [Ŧ]
ID: 359	Hex: 167	Char [ŧ]
ID: 366	Hex: 16E	Char [Ů]
ID: 367	Hex: 16F	Char [ů]
ID: 368	Hex: 170	Char [Ű]
ID: 369	Hex: 171	Char [ű]
ID: 370	Hex: 172	Char [Ų]
ID: 371	Hex: 173	Char [ų]
ID: 372	Hex: 174	Char [Ŵ]
ID: 373	Hex: 175	Char [ŵ]
ID: 374	Hex: 176	Char [Ŷ]
ID: 375	Hex: 177	Char [ŷ]
ID: 376	Hex: 178	Char [Ÿ]
ID: 377	Hex: 179	Char [Ź]
ID: 378	Hex: 17A	Char [ź]
ID: 379	Hex: 17B	Char [Ż]
ID: 380	Hex: 17C	Char [ż]
ID: 381	Hex: 17D	Char [Ž]
ID: 382	Hex: 17E	Char [ž]
ID: 403	Hex: 193	Char [Ɠ]
ID: 450	Hex: 1C2	Char [ǂ]
ID: 501	Hex: 1F5	Char [ǵ]
ID: 509	Hex: 1FD	Char [ǽ]
ID: 567	Hex: 237	Char [ȷ]
ID: 592	Hex: 250	Char [ɐ]
ID: 594	Hex: 252	Char [ɒ]
ID: 595	Hex: 253	Char [ɓ]
ID: 596	Hex: 254	Char [ɔ]
ID: 597	Hex: 255	Char [ɕ]
ID: 598	Hex: 256	Char [ɖ]
ID: 599	Hex: 257	Char [ɗ]
ID: 600	Hex: 258	Char [ɘ]
ID: 601	Hex: 259	Char [ə]
ID: 602	Hex: 25A	Char [ɚ]
ID: 603	Hex: 25B	Char [ɛ]
ID: 604	Hex: 25C	Char [ɜ]
ID: 606	Hex: 25E	Char [ɞ]
ID: 607	Hex: 25F	Char [ɟ]
ID: 608	Hex: 260	Char [ɠ]
ID: 610	Hex: 262	Char [ɢ]
ID: 611	Hex: 263	Char [ɣ]
ID: 612	Hex: 264	Char [ɤ]
ID: 613	Hex: 265	Char [ɥ]
ID: 614	Hex: 266	Char [ɦ]
ID: 615	Hex: 267	Char [ɧ]
ID: 616	Hex: 268	Char [ɨ]
ID: 618	Hex: 26A	Char [ɪ]
ID: 620	Hex: 26C	Char [ɬ]
ID: 621	Hex: 26D	Char [ɭ]
ID: 622	Hex: 26E	Char [ɮ]
ID: 623	Hex: 26F	Char [ɯ]
ID: 624	Hex: 270	Char [ɰ]
ID: 625	Hex: 271	Char [ɱ]
ID: 626	Hex: 272	Char [ɲ]
ID: 627	Hex: 273	Char [ɳ]
ID: 628	Hex: 274	Char [ɴ]
ID: 629	Hex: 275	Char [ɵ]
ID: 630	Hex: 276	Char [ɶ]
ID: 632	Hex: 278	Char [ɸ]
ID: 633	Hex: 279	Char [ɹ]
ID: 634	Hex: 27A	Char [ɺ]
ID: 635	Hex: 27B	Char [ɻ]
ID: 637	Hex: 27D	Char [ɽ]
ID: 638	Hex: 27E	Char [ɾ]
ID: 640	Hex: 280	Char [ʀ]
ID: 641	Hex: 281	Char [ʁ]
ID: 642	Hex: 282	Char [ʂ]
ID: 643	Hex: 283	Char [ʃ]
ID: 644	Hex: 284	Char [ʄ]
ID: 648	Hex: 288	Char [ʈ]
ID: 649	Hex: 289	Char [ʉ]
ID: 650	Hex: 28A	Char [ʊ]
ID: 651	Hex: 28B	Char [ʋ]
ID: 652	Hex: 28C	Char [ʌ]
ID: 653	Hex: 28D	Char [ʍ]
ID: 654	Hex: 28E	Char [ʎ]
ID: 655	Hex: 28F	Char [ʏ]
ID: 656	Hex: 290	Char [ʐ]
ID: 657	Hex: 291	Char [ʑ]
ID: 658	Hex: 292	Char [ʒ]
ID: 660	Hex: 294	Char [ʔ]
ID: 661	Hex: 295	Char [ʕ]
ID: 664	Hex: 298	Char [ʘ]
ID: 665	Hex: 299	Char [ʙ]
ID: 668	Hex: 29C	Char [ʜ]
ID: 669	Hex: 29D	Char [ʝ]
ID: 671	Hex: 29F	Char [ʟ]
ID: 673	Hex: 2A1	Char [ʡ]
ID: 674	Hex: 2A2	Char [ʢ]
ID: 688	Hex: 2B0	Char [ʰ]
ID: 690	Hex: 2B2	Char [ʲ]
ID: 695	Hex: 2B7	Char [ʷ]
ID: 700	Hex: 2BC	Char [ʼ]
ID: 705	Hex: 2C1	Char [ˁ]
ID: 710	Hex: 2C6	Char [ˆ]
ID: 712	Hex: 2C8	Char [ˈ]
ID: 716	Hex: 2CC	Char [ˌ]
ID: 720	Hex: 2D0	Char [ː]
ID: 721	Hex: 2D1	Char [ˑ]
ID: 728	Hex: 2D8	Char [˘]
ID: 730	Hex: 2DA	Char [˚]
ID: 731	Hex: 2DB	Char [˛]
ID: 732	Hex: 2DC	Char [˜]
ID: 733	Hex: 2DD	Char [˝]
ID: 734	Hex: 2DE	Char [˞]
ID: 736	Hex: 2E0	Char [ˠ]
ID: 737	Hex: 2E1	Char [ˡ]
ID: 741	Hex: 2E5	Char [˥]
ID: 742	Hex: 2E6	Char [˦]
ID: 743	Hex: 2E7	Char [˧]
ID: 744	Hex: 2E8	Char [˨]
ID: 745	Hex: 2E9	Char [˩]
ID: 770	Hex: 302	Char [̂]
ID: 771	Hex: 303	Char [̃]
ID: 773	Hex: 305	Char [̅]
ID: 774	Hex: 306	Char [̆]
ID: 776	Hex: 308	Char [̈]
ID: 778	Hex: 30A	Char [̊]
ID: 779	Hex: 30B	Char [̋]
ID: 781	Hex: 30D	Char [̍]
ID: 783	Hex: 30F	Char [̏]
ID: 792	Hex: 318	Char [̘]
ID: 793	Hex: 319	Char [̙]
ID: 794	Hex: 31A	Char [̚]
ID: 796	Hex: 31C	Char [̜]
ID: 797	Hex: 31D	Char [̝]
ID: 798	Hex: 31E	Char [̞]
ID: 799	Hex: 31F	Char [̟]
ID: 800	Hex: 320	Char [̠]
ID: 804	Hex: 324	Char [̤]
ID: 805	Hex: 325	Char [̥]
ID: 807	Hex: 327	Char [̧]
ID: 808	Hex: 328	Char [̨]
ID: 809	Hex: 329	Char [̩]
ID: 810	Hex: 32A	Char [̪]
ID: 812	Hex: 32C	Char [̬]
ID: 815	Hex: 32F	Char [̯]
ID: 816	Hex: 330	Char [̰]
ID: 818	Hex: 332	Char [̲]
ID: 820	Hex: 334	Char [̴]
ID: 822	Hex: 336	Char [̶]
ID: 825	Hex: 339	Char [̹]
ID: 826	Hex: 33A	Char [̺]
ID: 827	Hex: 33B	Char [̻]
ID: 828	Hex: 33C	Char [̼]
ID: 829	Hex: 33D	Char [̽]
ID: 865	Hex: 361	Char [͡]
ID: 900	Hex: 384	Char [΄]
ID: 901	Hex: 385	Char [΅]
ID: 902	Hex: 386	Char [Ά]
ID: 904	Hex: 388	Char [Έ]
ID: 905	Hex: 389	Char [Ή]
ID: 906	Hex: 38A	Char [Ί]
ID: 908	Hex: 38C	Char [Ό]
ID: 910	Hex: 38E	Char [Ύ]
ID: 911	Hex: 38F	Char [Ώ]
ID: 912	Hex: 390	Char [ΐ]
ID: 938	Hex: 3AA	Char [Ϊ]
ID: 939	Hex: 3AB	Char [Ϋ]
ID: 940	Hex: 3AC	Char [ά]
ID: 941	Hex: 3AD	Char [έ]
ID: 942	Hex: 3AE	Char [ή]
ID: 943	Hex: 3AF	Char [ί]
ID: 944	Hex: 3B0	Char [ΰ]
ID: 970	Hex: 3CA	Char [ϊ]
ID: 971	Hex: 3CB	Char [ϋ]
ID: 972	Hex: 3CC	Char [ό]
ID: 973	Hex: 3CD	Char [ύ]
ID: 974	Hex: 3CE	Char [ώ]
ID: 976	Hex: 3D0	Char [ϐ]
ID: 977	Hex: 3D1	Char [ϑ]
ID: 981	Hex: 3D5	Char [ϕ]
ID: 987	Hex: 3DB	Char [ϛ]
ID: 1026	Hex: 402	Char [Ђ]
ID: 1027	Hex: 403	Char [Ѓ]
ID: 1028	Hex: 404	Char [Є]
ID: 1029	Hex: 405	Char [Ѕ]
ID: 1030	Hex: 406	Char [І]
ID: 1031	Hex: 407	Char [Ї]
ID: 1032	Hex: 408	Char [Ј]
ID: 1033	Hex: 409	Char [Љ]
ID: 1034	Hex: 40A	Char [Њ]
ID: 1035	Hex: 40B	Char [Ћ]
ID: 1036	Hex: 40C	Char [Ќ]
ID: 1038	Hex: 40E	Char [Ў]
ID: 1039	Hex: 40F	Char [Џ]
ID: 1106	Hex: 452	Char [ђ]
ID: 1107	Hex: 453	Char [ѓ]
ID: 1108	Hex: 454	Char [є]
ID: 1109	Hex: 455	Char [ѕ]
ID: 1110	Hex: 456	Char [і]
ID: 1111	Hex: 457	Char [ї]
ID: 1112	Hex: 458	Char [ј]
ID: 1113	Hex: 459	Char [љ]
ID: 1114	Hex: 45A	Char [њ]
ID: 1115	Hex: 45B	Char [ћ]
ID: 1116	Hex: 45C	Char [ќ]
ID: 1118	Hex: 45E	Char [ў]
ID: 1119	Hex: 45F	Char [џ]
ID: 4054	Hex: FD6	Char [࿖]
ID: 8048	Hex: 1F70	Char [ὰ]
ID: 8049	Hex: 1F71	Char [ά]
ID: 8050	Hex: 1F72	Char [ὲ]
ID: 8051	Hex: 1F73	Char [έ]
ID: 8254	Hex: 203E	Char [‾]
ID: 8255	Hex: 203F	Char [‿]
ID: 8260	Hex: 2044	Char [⁄]
ID: 8282	Hex: 205A	Char [⁚]
ID: 8285	Hex: 205D	Char [⁝]
ID: 8304	Hex: 2070	Char [⁰]
ID: 8309	Hex: 2075	Char [⁵]
ID: 8310	Hex: 2076	Char [⁶]
ID: 8311	Hex: 2077	Char [⁷]
ID: 8312	Hex: 2078	Char [⁸]
ID: 8313	Hex: 2079	Char [⁹]
ID: 8319	Hex: 207F	Char [ⁿ]
ID: 8320	Hex: 2080	Char [₀]
ID: 8321	Hex: 2081	Char [₁]
ID: 8322	Hex: 2082	Char [₂]
ID: 8323	Hex: 2083	Char [₃]
ID: 8324	Hex: 2084	Char [₄]
ID: 8325	Hex: 2085	Char [₅]
ID: 8326	Hex: 2086	Char [₆]
ID: 8327	Hex: 2087	Char [₇]
ID: 8328	Hex: 2088	Char [₈]
ID: 8329	Hex: 2089	Char [₉]
ID: 8528	Hex: 2150	Char [⅐]
ID: 8529	Hex: 2151	Char [⅑]
ID: 8530	Hex: 2152	Char [⅒]
ID: 8531	Hex: 2153	Char [⅓]
ID: 8532	Hex: 2154	Char [⅔]
ID: 8533	Hex: 2155	Char [⅕]
ID: 8534	Hex: 2156	Char [⅖]
ID: 8535	Hex: 2157	Char [⅗]
ID: 8536	Hex: 2158	Char [⅘]
ID: 8537	Hex: 2159	Char [⅙]
ID: 8538	Hex: 215A	Char [⅚]
ID: 8539	Hex: 215B	Char [⅛]
ID: 8540	Hex: 215C	Char [⅜]
ID: 8541	Hex: 215D	Char [⅝]
ID: 8542	Hex: 215E	Char [⅞]
ID: 8575	Hex: 217F	Char [ⅿ]
ID: 8585	Hex: 2189	Char [↉]
ID: 8729	Hex: 2219	Char [∙]
ID: 8764	Hex: 223C	Char [∼]
ID: 8786	Hex: 2252	Char [≒]
ID: 8862	Hex: 229E	Char [⊞]
ID: 8900	Hex: 22C4	Char [⋄]
ID: 9115	Hex: 239B	Char [⎛]
ID: 9116	Hex: 239C	Char [⎜]
ID: 9117	Hex: 239D	Char [⎝]
ID: 9118	Hex: 239E	Char [⎞]
ID: 9119	Hex: 239F	Char [⎟]
ID: 9120	Hex: 23A0	Char [⎠]
ID: 9121	Hex: 23A1	Char [⎡]
ID: 9122	Hex: 23A2	Char [⎢]
ID: 9123	Hex: 23A3	Char [⎣]
ID: 9124	Hex: 23A4	Char [⎤]
ID: 9125	Hex: 23A5	Char [⎥]
ID: 9126	Hex: 23A6	Char [⎦]
ID: 9127	Hex: 23A7	Char [⎧]
ID: 9128	Hex: 23A8	Char [⎨]
ID: 9129	Hex: 23A9	Char [⎩]
ID: 9130	Hex: 23AA	Char [⎪]
ID: 9131	Hex: 23AB	Char [⎫]
ID: 9132	Hex: 23AC	Char [⎬]
ID: 9133	Hex: 23AD	Char [⎭]
ID: 9723	Hex: 25FB	Char [◻]
ID: 9724	Hex: 25FC	Char [◼]
ID: 9898	Hex: 26AA	Char [⚪]
ID: 9899	Hex: 26AB	Char [⚫]
ID: 9931	Hex: 26CB	Char [⛋]
ID: 10175	Hex: 27BF	Char [➿]
ID: 10696	Hex: 29C8	Char [⧈]
ID: 11045	Hex: 2B25	Char [⬥]
ID: 11046	Hex: 2B26	Char [⬦]
ID: 11049	Hex: 2B29	Char [⬩]
ID: 11104	Hex: 2B60	Char [⭠]
ID: 11105	Hex: 2B61	Char [⭡]
ID: 11106	Hex: 2B62	Char [⭢]
ID: 11107	Hex: 2B63	Char [⭣]
ID: 11108	Hex: 2B64	Char [⭤]
ID: 11109	Hex: 2B65	Char [⭥]
ID: 11138	Hex: 2B82	Char [⮂]
ID: 11139	Hex: 2B83	Char [⮃]
ID: 11159	Hex: 2B97	Char [⮗]
ID: 11840	Hex: 2E40	Char [⹀]
ID: 42933	Hex: A7B5	Char [ꞵ]
ID: 43859	Hex: AB53	Char [ꭓ]
ID: 63584	Hex: F860	Char []
ID: 63585	Hex: F861	Char []
ID: 63586	Hex: F862	Char []
ID: 63610	Hex: F87A	Char []
ID: 63615	Hex: F87F	Char []
ID: 110898	Hex: 1B132	Char [넲]
ID: 110933	Hex: 1B155	Char [녕]
ID: 128924	Hex: 1F79C	Char []
ID: 201552	Hex: 31350	Char [ፐ]

Characters excluded from packing:
----------------------------------------
